Age,Attrition,BusinessTravel,Department,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome
51,0,Travel_Rarely,Sales,Life Sciences,Female,1,Healthcare Representative,Married,131160
31,1,Travel_Frequently,Research & Development,Life Sciences,Female,1,Research Scientist,Single,41890
32,0,Travel_Frequently,Research & Development,Other,Male,4,Sales Executive,Married,193280
38,0,Non-Travel,Research & Development,Life Sciences,Male,3,Human Resources,Married,83210
32,0,Travel_Rarely,Research & Development,Medical,Male,1,Sales Executive,Single,23420
46,0,Travel_Rarely,Research & Development,Life Sciences,Female,4,Research Director,Married,40710
28,1,Travel_Rarely,Research & Development,Medical,Male,2,Sales Executive,Single,58130
29,0,Travel_Rarely,Research & Development,Life Sciences,Male,2,Sales Executive,Married,31430
31,0,Travel_Rarely,Research & Development,Life Sciences,Male,3,Laboratory Technician,Married,20440
25,0,Non-Travel,Research & Development,Medical,Female,4,Laboratory Technician,Divorced,134640
45,0,Travel_Rarely,Research & Development,Medical,Male,2,Laboratory Technician,Married,79910
36,0,Travel_Rarely,Research & Development,Life Sciences,Male,1,Laboratory Technician,Married,33770
55,0,Travel_Rarely,Research & Development,Life Sciences,Female,1,Sales Executive,Single,55380
47,1,Non-Travel,Research & Development,Medical,Male,1,Research Scientist,Married,57620
28,0,Travel_Rarely,Research & Development,Life Sciences,Male,1,Manufacturing Director,Married,25920
37,0,Travel_Rarely,Research & Development,Life Sciences,Male,2,Healthcare Representative,Married,53460
21,0,Travel_Rarely,Research & Development,Life Sciences,Male,1,Laboratory Technician,Single,42130
37,0,Non-Travel,Research & Development,Medical,Male,2,Sales Executive,Divorced,41270
35,0,Travel_Rarely,Sales,Life Sciences,Male,1,Sales Representative,Divorced,24380
38,0,Travel_Rarely,Research & Development,Life Sciences,Female,1,Manager,Divorced,68700
26,0,Travel_Frequently,Research & Development,Other,Male,2,Laboratory Technician,Divorced,104470
50,0,Travel_Rarely,Sales,Life Sciences,Male,1,Research Scientist,Divorced,96670
53,0,Travel_Rarely,Research & Development,Life Sciences,Female,2,Research Scientist,Married,21480
42,0,Travel_Rarely,Research & Development,Life Sciences,Male,1,Manufacturing Director,Married,89260
29,0,Travel_Frequently,Research & Development,Medical,Male,1,Laboratory Technician,Single,65130
55,0,Travel_Rarely,Research & Development,Other,Female,1,Research Scientist,Married,67990
26,0,Travel_Frequently,Research & Development,Life Sciences,Female,1,Manager,Married,162910
37,0,Travel_Rarely,Sales,Marketing,Male,1,Research Scientist,Single,27050
44,1,Travel_Frequently,Research & Development,Medical,Male,2,Research Scientist,Divorced,103330
38,0,Travel_Rarely,Sales,Marketing,Female,1,Manager,Divorced,44480
26,1,Travel_Rarely,Research & Development,Medical,Male,3,Research Scientist,Divorced,68540
28,0,Travel_Rarely,Research & Development,Other,Male,1,Human Resources,Single,96370
49,0,Travel_Frequently,Research & Development,Medical,Female,2,Research Scientist,Single,35910
36,0,Travel_Rarely,Sales,Technical Degree,Male,3,Sales Executive,Single,54050
31,0,Travel_Frequently,Research & Development,Medical,Male,1,Sales Executive,Divorced,46840
26,1,Travel_Rarely,Research & Development,Medical,Male,2,Manager,Single,157870
37,0,Travel_Frequently,Sales,Marketing,Male,1,Laboratory Technician,Married,15140
42,0,Travel_Frequently,Sales,Marketing,Male,3,Research Director,Married,29560
18,1,Travel_Rarely,Research & Development,Life Sciences,Male,1,Sales Executive,Single,23350
35,0,Travel_Rarely,Sales,Life Sciences,Male,1,Laboratory Technician,Married,51540
36,0,Travel_Frequently,Research & Development,Other,Female,3,Sales Executive,Married,69620
51,0,Travel_Rarely,Research & Development,Life Sciences,Male,2,Laboratory Technician,Divorced,56750
41,0,Travel_Rarely,Research & Development,Life Sciences,Male,1,Laboratory Technician,Single,23790
18,0,Travel_Rarely,Sales,Life Sciences,Male,1,Research Scientist,Single,38120
28,0,Travel_Rarely,Research & Development,Medical,Male,1,Sales Representative,Single,46480
31,0,Travel_Rarely,Research & Development,Technical Degree,Male,1,Manufacturing Director,Married,29360
39,0,Travel_Rarely,Sales,Marketing,Female,2,Human Resources,Divorced,21050
36,0,Non-Travel,Research & Development,Life Sciences,Male,1,Sales Executive,Married,85780
32,0,Travel_Rarely,Sales,Marketing,Male,2,Laboratory Technician,Married,27060
38,0,Travel_Rarely,Research & Development,Life Sciences,Female,3,Research Scientist,Married,63840
58,0,Non-Travel,Research & Development,Life Sciences,Male,2,Manufacturing Director,Divorced,39680
31,0,Travel_Rarely,Research & Development,Technical Degree,Female,3,Research Scientist,Married,99070
31,0,Travel_Rarely,Sales,Marketing,Male,2,Sales Executive,Married,132250
45,0,Travel_Frequently,Research & Development,Medical,Female,1,Sales Executive,Divorced,35400
31,0,Travel_Rarely,Sales,Marketing,Female,2,Research Scientist,Divorced,28040
33,0,Travel_Frequently,Research & Development,Life Sciences,Male,4,Research Director,Married,193920
39,0,Travel_Rarely,Sales,Life Sciences,Male,1,Sales Executive,Married,196650
43,0,Travel_Frequently,Research & Development,Medical,Male,4,Research Scientist,Single,24390
49,0,Travel_Rarely,Research & Development,Life Sciences,Male,3,Manufacturing Director,Single,73140
52,1,Travel_Rarely,Research & Development,Life Sciences,Female,2,Research Scientist,Married,47740
27,0,Travel_Rarely,Research & Development,Medical,Male,3,Research Scientist,Single,39020
32,0,Travel_Rarely,Research & Development,Life Sciences,Male,3,Research Scientist,Married,26620
27,0,Travel_Rarely,Research & Development,Medical,Female,4,Research Director,Single,28560
31,0,Travel_Rarely,Sales,Life Sciences,Male,2,Healthcare Representative,Divorced,10810
32,0,Travel_Rarely,Research & Development,Technical Degree,Male,2,Healthcare Representative,Single,24720
