City,Rider,Price,Population,Mincome,Prate,Climate
1,"192,000",15,"1,800,000","5,800",50,Sunny
2,"190,400",15,"1,790,000","6,200",50,Sunny
3,"191,200",15,"1,780,000","6,400",60,Sunny
4,"177,600",25,"1,778,000","6,500",60,Sunny
5,"176,800",25,"1,750,000","6,550",60,Sunny
6,"178,400",25,"1,740,000","6,580",70,Sunny
7,"180,800",25,"1,725,000","8,200",75,Sunny
8,"175,200",30,"1,725,000","8,600",75,Sunny
9,"174,400",30,"1,720,000","8,800",75,Sunny
10,"173,920",30,"1,705,000","9,200",80,Sunny
11,"172,800",30,"1,710,000","9,630",80,Sunny
12,"163,200",40,"1,700,000","10,570",80,Sunny
13,"161,600",40,"1,695,000","11,330",85,Sunny
14,"161,600",40,"1,695,000","11,600",100,Sunny
15,"160,800",40,"1,690,000","11,800",105,Sunny
16,"159,200",40,"1,630,000","11,830",105,Cold
17,"148,800",65,"1,640,000","12,650",105,Cold
18,"115,696",200,"1,635,000","13,000",110,Rain
19,"147,200",75,"1,630,000","13,224",125,Cold
20,"150,400",75,"1,620,000","13,766",130,Cold
21,"152,000",75,"1,615,000","14,010",150,Cold
22,"136,000",80,"1,605,000","14,468",200,Cold
23,"126,240",86,"1,590,000","15,000",450,Rain
24,"123,888",300,"1,595,000","15,200",500,Rain
25,"126,080",87,"1,590,000","15,600",750,Rain
26,"151,680",77,"1,600,000","16,000",190,Cold
27,"152,800",63,"1,610,000","16,200",200,Cold
